conversation_id,customer_tweet_id,brand_tweet_id,timestamp,customer_message,brand_response,conversation_history,conversation_turns,is_multi_brand_candidate
9825,9827,9826,2017-11-01T00:25:28+00:00,Damn the new emojis @115858. Will my battery still go from 65% to 40% after one snap?,"@117805 We're happy to help. Are you experiencing battery issues, when using certain app?",customer: Damn the new emojis @115858. Will my battery still go from 65% to 40% after one snap?,2,0
11116,11118,11117,2017-11-01T00:53:29+00:00,"@AppleSupport my watch has been saying I’ve been averaging 57 minutes, now today it’s 52, I checked and did the math it’s 57... what the??? https://t.co/kQWakgjXJ5",@118099 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,"customer: @AppleSupport my watch has been saying I’ve been averaging 57 minutes, now today it’s 52, I checked and did the math it’s 57... what the??? https://t.co/kQWakgjXJ5",2,0
17303,17305,17304,2017-11-22T14:49:32+00:00,@115858 how come when I am listening to @115888 my music keeps pausing by itself????? I’m sorry I listen to Spotify and not Apple Music but Spotify is simply better. I’m sick of your shit Apple,"@119815 We'll do everything we can to help you figure out what's happening. To start, what type of device are you using? Along with that, please confirm which version of the operating system is currently installed. Send over those details to us via DM. https://t.co/GDrqU22YpT",customer: @115858 how come when I am listening to @115888 my music keeps pausing by itself????? I’m sorry I listen to Spotify and not Apple Music but Spotify is simply better. I’m sick of your shit Apple,2,0
26677,26679,26678,2017-11-08T23:33:00+00:00,WTF @115858 I️ put a text replacement for the letter “I “ and it keeps removing it 😡,@121840 We'd be happy to look into this with you. Could you please send us a DM so we can get started? https://t.co/GDrqU22YpT,customer: WTF @115858 I️ put a text replacement for the letter “I “ and it keeps removing it 😡,2,0
34618,34620,34619,2017-11-01T13:26:00+00:00,"When searching fot ""GOT"" Apple TV app shows Cmore but not @1561 Nordic, even tho I only have HBO installed. @AppleSupport",@123503 Let's get you in touch with our Apple TV experts so they can assist further. Reach out here: https://t.co/IBIY3vMgPj,"customer: When searching fot ""GOT"" Apple TV app shows Cmore but not @1561 Nordic, even tho I only have HBO installed. @AppleSupport",2,0
38246,38248,38247,2017-11-01T14:33:32+00:00,@AppleSupport yesterday I purchased iPhone 6. Trying to connect to PC for copy songs but it’s not recognizing. Please help.,@124311 Let's work on this together. Which version of Windows are you using? DM the answer below. https://t.co/GDrqU22YpT,customer: @AppleSupport yesterday I purchased iPhone 6. Trying to connect to PC for copy songs but it’s not recognizing. Please help.,2,0
39656,39658,39657,2017-11-01T15:06:44+00:00,@115858 please fix my phone screen ): but like for cheap?????????,@124679 We want to help.  DM us which country are you located in. https://t.co/GDrqU22YpT,customer: @115858 please fix my phone screen ): but like for cheap?????????,2,0
40458,40460,40459,2017-11-01T15:27:01+00:00,The letter “I️” is malfunctioning when typing. Pleasure halp! @AppleSupport,@124868 We'd like to help you out. DM us with what type of device you're using and we'll get started. https://t.co/GDrqU22YpT,customer: The letter “I️” is malfunctioning when typing. Pleasure halp! @AppleSupport,2,0
48030,48033,48031,2017-11-01T17:02:36+00:00,@AppleSupport iPhone 7 has been stuck on an update loop for 12 hrs with recent upgrade..can't get out of it or access via iTunes. Pls help.,@126740 We want to help. Let's put your phone in recovery mode and restore.  Here's how:  https://t.co/iYLZzFD8qZ,customer: @AppleSupport iPhone 7 has been stuck on an update loop for 12 hrs with recent upgrade..can't get out of it or access via iTunes. Pls help.,4,0
54445,54447,54446,2017-11-01T19:10:35+00:00,@115858 @AppleSupport fix the fucking letter “I️” please!!!!!,@128326 We're here to help. Tell us what exact issue your are having and we can look into it together. https://t.co/GDrqU22YpT,customer: @115858 @AppleSupport fix the fucking letter “I️” please!!!!!,2,0
55130,55132,55131,2017-11-01T19:16:28+00:00,Please can @115858 make an “are you sure” pop-up for when you try to close the music app? Thanks,@128503 We welcome and encourage your feedback and suggestions! Please provide them here: https://t.co/oWzjJxkvlC,customer: Please can @115858 make an “are you sure” pop-up for when you try to close the music app? Thanks,2,0
58162,58164,58163,2017-11-01T20:28:00+00:00,"Dear @AppleSupport if y’all don’t fix my phone from doing this crazy stuff I️ need a new one.  Sincerely , a fed up Apple customer.",@129204 Let’s see what’s going on. Let us know in DM when this started happening. https://t.co/GDrqU22YpT,"customer: Dear @AppleSupport if y’all don’t fix my phone from doing this crazy stuff I️ need a new one.  Sincerely , a fed up Apple customer.",2,0
61311,61314,61312,2017-11-26T01:08:51+00:00,My phone is showing me empty lock screen all the time and when I force reboot I’m getting last weeks message notifications and couple hours later same bs all over again! @AppleSupport tell me what to do I don’t wanna wait for next update this bug is so irritating 😠,"@130036 We'd like some details to help. Which iPhone model and iOS does this occur on? Also, does the issue with your notifications occur on Wi-Fi, cellular or both? Let us know and we'll continue.",customer: My phone is showing me empty lock screen all the time and when I force reboot I’m getting last weeks message notifications and couple hours later same bs all over again! @AppleSupport tell me what to do I don’t wanna wait for next update this bug is so irritating 😠,5,0
61311,61313,61315,2017-11-26T01:28:00+00:00,@AppleSupport iOS 11.1.2 on X. Notification issue happens on both Wi-Fi and cellular.,"@130036 Perfect, thanks. As you're up to date we'd like some additional details to assist. DM us using the link below and we'll continue. https://t.co/GDrqU22YpT","customer: My phone is showing me empty lock screen all the time and when I force reboot I’m getting last weeks message notifications and couple hours later same bs all over again! @AppleSupport tell me what to do I don’t wanna wait for next update this bug is so irritating 😠
brand: @130036 We'd like some details to help. Which iPhone model and iOS does this occur on? Also, does the issue with your notifications occur on Wi-Fi, cellular or both? Let us know and we'll continue.
customer: @AppleSupport iOS 11.1.2 on X. Notification issue happens on both Wi-Fi and cellular.",5,0
82030,82032,82031,2017-11-30T13:22:00+00:00,Thanks @115817 for loosing my iPhone X and for @115858 for not sending me a new one,@134153 We'd like to look into this with you. Let's hop in DM. Click here: https://t.co/GDrqU22YpT,customer: Thanks @115817 for loosing my iPhone X and for @115858 for not sending me a new one,2,0
