conversation_id,customer_tweet_id,brand_tweet_id,timestamp,customer_message,brand_response,conversation_history,conversation_turns,is_multi_brand_candidate,intent,rule_confidence,needs_manual_review,matched_patterns
695,698,696,2017-10-31T22:27:49+00:00,@AppleSupport  https://t.co/NV0yucs0lB,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,"customer: @AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE
customer: @AppleSupport  https://t.co/NV0yucs0lB",5,0,insufficient_information,0.0,True,
695,697,699,2017-10-31T22:36:27+00:00,@AppleSupport The newest update. I️ made sure to download it yesterday.,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,"customer: @AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE
customer: @AppleSupport  https://t.co/NV0yucs0lB
brand: @115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.
customer: @AppleSupport The newest update. I️ made sure to download it yesterday.",5,0,app_software_issue,0.99,True,update\b
747,749,748,2017-10-31T22:18:28+00:00,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,customer: @AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,2,0,general_information,0.99,True,what is\b
1761,1764,1762,2017-10-31T22:36:00+00:00,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",@116100 This article should help with that: https://t.co/usOJWy6ChP,"customer: @AppleSupport Hello, I need some help regarding the region change on my Apple ID",5,0,account_access,0.99,True,apple\s*id
1761,1763,1765,2017-10-31T22:52:00+00:00,"@AppleSupport Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",@116100 Try contacting our iTunes Store team here for more help: https://t.co/SDIe7UiyJN,"customer: @AppleSupport Hello, I need some help regarding the region change on my Apple ID
brand: @116100 This article should help with that: https://t.co/usOJWy6ChP
customer: @AppleSupport Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",5,0,insufficient_information,0.0,True,
2657,2659,2658,2017-10-31T22:49:00+00:00,Is anyone else having problems with there iPhone 7 saying no service? @115858 @115714,@116346 We want to help with this. Let's start troubleshooting by trying the steps here: https://t.co/5KootZbxj1,customer: Is anyone else having problems with there iPhone 7 saying no service? @115858 @115714,4,1,insufficient_information,0.0,True,
2663,2666,2664,2017-10-31T22:48:31+00:00,I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,customer: I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,4,0,app_software_issue,0.99,True,error\b
2663,2665,2667,2017-10-31T23:10:58+00:00,@AppleSupport Yes,@116348 Thank you for reaching out. We've received your DM and will continue working with you there.,"customer: I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport
brand: @116348 We'd like to look into this with you. Does the song appear to be greyed out?
customer: @AppleSupport Yes",4,0,insufficient_information,0.0,True,
4891,4893,4892,2017-10-31T23:23:00+00:00,This “I️” shit annoying yo @115858 fix this shit,@116858 We're here to help. Send us a DM with the iOS version number you're on. We'll follow up there. https://t.co/GDrqU22YpT,customer: This “I️” shit annoying yo @115858 fix this shit,2,0,insufficient_information,0.0,True,
4898,4901,4899,2017-10-31T23:21:24+00:00,Please fix the battery issues in Ios 11! @AppleSupport @115858,@116860 We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?,customer: Please fix the battery issues in Ios 11! @AppleSupport @115858,4,0,app_software_issue,0.5,True,ios\b
4898,4900,4902,2017-11-02T13:58:00+00:00,@AppleSupport @116860 I have and my battery life has become even worse,@116861 Let's look into this further in DM. https://t.co/GDrqU22YpT,"customer: Please fix the battery issues in Ios 11! @AppleSupport @115858
brand: @116860 We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?
customer: @AppleSupport @116860 I have and my battery life has become even worse",4,0,device_issue,0.99,True,battery
5812,5816,5815,2017-10-31T23:18:00+00:00,I️ &lt;— wtf is going on @AppleSupport,@117098 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,customer: I️ &lt;— wtf is going on @AppleSupport,4,0,insufficient_information,0.0,True,
5812,5814,5813,2017-10-31T23:42:00+00:00,@AppleSupport ok cool,@117098 Does this issue happen with all applications or only some?  Let us know in DM. https://t.co/GDrqU22YpT,"customer: I️ &lt;— wtf is going on @AppleSupport
brand: @117098 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT
customer: @AppleSupport ok cool",4,0,insufficient_information,0.0,True,
8299,8302,8300,2017-11-05T23:13:30+00:00,Every time I watch a live broadcast or video it skips or repeats a few seconds since updating @AppleSupport https://t.co/ufl7yqidmb,"@117456 We'd like to learn more about what's happening. What model &amp; iOS version are you working with? Tell us in DM, please. https://t.co/GDrqU2kzhr",customer: Every time I watch a live broadcast or video it skips or repeats a few seconds since updating @AppleSupport https://t.co/ufl7yqidmb,3,0,insufficient_information,0.0,True,
8329,8331,8330,2017-11-05T23:03:55+00:00,Oh my god i’m so embarrassing @115858 why do I always send voice recordings in iMessage by accident do you know how embarrassing that is?!,"@117463 Are you accidentally recording audio message or is this happening on its own? Let us know in a DM, we’ll communicate there: https://t.co/GDrqU22YpT",customer: Oh my god i’m so embarrassing @115858 why do I always send voice recordings in iMessage by accident do you know how embarrassing that is?!,2,0,app_software_issue,0.99,True,imessage
8571,8574,8572,2017-10-31T23:50:00+00:00,@AppleSupport this is the second Fishing email that I have gotten in 2 days https://t.co/WG3DvyKLSj,@117508 We are here to help. Please refer to the following article for steps to report these emails: https://t.co/yGvlh3cZ5Y,customer: @AppleSupport this is the second Fishing email that I have gotten in 2 days https://t.co/WG3DvyKLSj,4,0,insufficient_information,0.0,True,
8571,8573,8575,2017-11-01T00:04:25+00:00,@AppleSupport Thank you.,"@117508 You are most welcome. If there is anything we can do to assist you in the future, please don't hesitate to reach back out.","customer: @AppleSupport this is the second Fishing email that I have gotten in 2 days https://t.co/WG3DvyKLSj
brand: @117508 We are here to help. Please refer to the following article for steps to report these emails: https://t.co/yGvlh3cZ5Y
customer: @AppleSupport Thank you.",4,0,insufficient_information,0.0,True,
9832,9835,9833,2017-11-01T00:24:38+00:00,Dear @AppleSupport why is my letter I️ not working by itself in email or text? When I️ type the letter “I️” the attached happens. https://t.co/2qZ7Tjx5cF,@117807 We're here to help. Which version of iOS do you have installed on your device? You'd see this in Settings &gt; General &gt; About.,customer: Dear @AppleSupport why is my letter I️ not working by itself in email or text? When I️ type the letter “I️” the attached happens. https://t.co/2qZ7Tjx5cF,4,0,insufficient_information,0.0,True,
9832,9834,9836,2017-11-01T02:47:00+00:00,@AppleSupport 11.0.3,@117807 Thanks. Let's continue the conversation in DM. https://t.co/GDrqU22YpT,"customer: Dear @AppleSupport why is my letter I️ not working by itself in email or text? When I️ type the letter “I️” the attached happens. https://t.co/2qZ7Tjx5cF
brand: @117807 We're here to help. Which version of iOS do you have installed on your device? You'd see this in Settings &gt; General &gt; About.
customer: @AppleSupport 11.0.3",4,0,insufficient_information,0.0,True,
11118,11122,11121,2017-10-27T20:55:00+00:00,@AppleSupport @118101 would love to know why my pictures look like this when I take a picture 😡 https://t.co/yVpQKCBzFu,@118100 We would love to help you with this! Is this the front or rear facing camera? Which device and iOS version?,customer: @AppleSupport @118101 would love to know why my pictures look like this when I take a picture 😡 https://t.co/yVpQKCBzFu,4,0,insufficient_information,0.0,True,
