id,conversation_id,customer_tweet_id,timestamp,customer_message,brand_response,conversation_history,conversation_turns,intent,should_escalate,expected_resolution,difficulty,evidence_conversation_id,annotation_status
1,2777534,2777536,2017-11-21T16:20:09+00:00,"@AppleSupport Yes this occur to all apps, mostly happens when i opened music.","@775996 What exactly do you see occur when the apps close? Do they immediately close out, do they freeze for a moment then close, or something else?","customer: @AppleSupport hi, i'm experiencing sudden app close since i updated my iOS to the latest version. i'm using iPhone 6s, any idea?
brand: @775996 We appreciate you reaching out to us and are happy to help out however we can. Does this occur with all apps or specific apps?
customer: @AppleSupport Yes this occur to all apps, mostly happens when i opened music.",6,app_software_issue,False,"Identify and resolve the issue causing apps to close when opening, especially Music, on the iPhone 6s after the latest iOS update.",medium,,ollama_suggestion_pending_human_review
2,2702112,2702117,2017-11-19T21:59:31+00:00,"@AppleSupport I will because the source photos are not accessible suddenly. Until this week I’d plug in my phone, open explorer, move the photos. Now i can’t. Wife’s in the same position and as of this week.",@617688  No worries. We can look into this with you. Go ahead and connect with us via DM. https://t.co/GDrqU22YpT,"customer: .@AppleSupport I’ve just plugged my iPhone into my Windows laptop to download my photos as I usually do. However I can’t see my photos in File Explorer. Why is that please?
brand: @617688 Thanks for contacting us. We're here for you. Please follow the steps in this support article for importing your photos to your computer: https://t.co/KSr0Br9YuG
customer: @AppleSupport I’ve never chosen to use iCloud but suddenly all my photos are heading to it and I can only get them back if I sign up. Not only that but I’ve a feeling I’ll have to pay for the iCloud storage that I’ve never asked for. Is that true?
brand: @617688  These are some good concerns, and we expect your features to work on your request not ours. You get 5GB of storage for free, and you will be notified if you need more. Even if you turn off iCloud Photos, your source photos will remain. Send su a DM if you need help. https://t.co/GDrqU22YpT
customer: @AppleSupport I will because the source photos are not accessible suddenly. Until this week I’d plug in my phone, open explorer, move the photos. Now i can’t. Wife’s in the same position and as of this week.",9,app_software_issue,False,Resolve the issue with accessing photos on the device when connected to a computer.,medium,,ollama_suggestion_pending_human_review
3,1497876,1497878,2017-10-16T22:46:00+00:00,@115858 iPhone needs location notifications. Like notifications that pop up when you arrive to a destination,@467774 Location Services has a few different properties. You can find out more here: https://t.co/XDlado2roQ,customer: @115858 iPhone needs location notifications. Like notifications that pop up when you arrive to a destination,2,app_software_issue,False,Enable location services and location notifications for the relevant app.,easy,,ollama_suggestion_pending_human_review
4,2702112,2702119,2017-11-19T22:05:25+00:00,@AppleSupport I’ll do it in the morning.,@617688  We will be here to continue. Thank you for reaching out to us on Twitter.,"customer: .@AppleSupport I’ve just plugged my iPhone into my Windows laptop to download my photos as I usually do. However I can’t see my photos in File Explorer. Why is that please?
brand: @617688 Thanks for contacting us. We're here for you. Please follow the steps in this support article for importing your photos to your computer: https://t.co/KSr0Br9YuG
customer: @AppleSupport I’ve never chosen to use iCloud but suddenly all my photos are heading to it and I can only get them back if I sign up. Not only that but I’ve a feeling I’ll have to pay for the iCloud storage that I’ve never asked for. Is that true?
brand: @617688  These are some good concerns, and we expect your features to work on your request not ours. You get 5GB of storage for free, and you will be notified if you need more. Even if you turn off iCloud Photos, your source photos will remain. Send su a DM if you need help. https://t.co/GDrqU22YpT
customer: @AppleSupport I will because the source photos are not accessible suddenly. Until this week I’d plug in my phone, open explorer, move the photos. Now i can’t. Wife’s in the same position and as of this week.
brand: @617688  No worries. We can look into this with you. Go ahead and connect with us via DM. https://t.co/GDrqU22YpT
customer: @AppleSupport I’ll do it in the morning.",9,app_software_issue,False,Resolve the issue with accessing photos on Windows using iCloud or provide an alternative solution.,medium,,ollama_suggestion_pending_human_review
5,2496919,2496921,2017-10-30T02:23:26+00:00,@AppleSupport @115858 explain. https://t.co/fh7X2Hjzxk,@712549 Let's see what we can find to help. Which version of iOS are you using?,customer: @AppleSupport @115858 explain. https://t.co/fh7X2Hjzxk,2,general_information,False,Provide product information or how-to instructions.,easy,,ollama_suggestion_pending_human_review
6,1726237,1726239,2017-11-07T05:24:05+00:00,"@AppleSupport so you can make emojis mirror peoples faces, but I️ is impossible to fix? I️ updated and it’s still a problem.",@506218 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,"customer: @AppleSupport so you can make emojis mirror peoples faces, but I️ is impossible to fix? I️ updated and it’s still a problem.",2,app_software_issue,False,The customer expects a fix for the emoji mirroring issue in the app update.,medium,,ollama_suggestion_pending_human_review
7,1571021,1571024,2017-11-04T17:16:00+00:00,@AppleSupport Does Face ID’s infrared damage eyes if used constantly during the day?,@247982 We're here to help. You can learn more about Face ID here: https://t.co/w0GFEbuI3a,customer: @AppleSupport Does Face ID’s infrared damage eyes if used constantly during the day?,4,general_information,False,Provide information on the safety of using Face ID’s infrared technology.,easy,,ollama_suggestion_pending_human_review
8,2520674,2520677,2017-11-16T01:36:24+00:00,@AppleSupport excuse me but iPhone isn’t making calls... would you all like to tell me why that is?,"@717966 We're happy to assist. So we're sure of the details, which carrier are you currently using? Also, are you showing an available carrier update? If needed, the steps to check are here: https://t.co/sAc6FQIdW2 Let us know and we'll continue.",customer: @AppleSupport excuse me but iPhone isn’t making calls... would you all like to tell me why that is?,4,device_issue,False,Diagnose and resolve the issue with the customer's iPhone call functionality.,easy,,ollama_suggestion_pending_human_review
9,2079070,2079073,2017-10-09T17:51:00+00:00,@AppleSupport Why does my Apple Watch not give me the icon for twitter or snapchat since updating? Please help! https://t.co/5ub1EgM5xQ,@614886 Let's get to the bottom of this together. Did you leave your Apple Watch on its charger for the duration of the update? DM us: https://t.co/GDrqU22YpT,customer: @AppleSupport Why does my Apple Watch not give me the icon for twitter or snapchat since updating? Please help! https://t.co/5ub1EgM5xQ,3,app_software_issue,False,The issue with missing Twitter and Snapchat icons on the Apple Watch will be resolved by checking the watch's app pairings or performing a watch app reset.,medium,,ollama_suggestion_pending_human_review
10,1466864,1453886,2017-11-02T19:43:00+00:00,"@457407 @AppleSupport This happened to me too. I just opened iphone and literally hundreds of songs are gone! Just did Twitter search, did you find solution?","@460467 We're happy to help. To clarify, are you also referring to GarageBand or did this happen in a different Music app?","customer: @AppleSupport WTF THE NEW GARAGEBAND IOS UPDATE REMOVED ALL MY FILES!! THEY'RE LITERALLY NOWHERE TO FOUND.
brand: @457407 Hey there. Regarding this issue we recommend reaching out directly to our GarageBand support team: https://t.co/Y5LblM9mn1
customer: @457407 @AppleSupport This happened to me too. I just opened iphone and literally hundreds of songs are gone! Just did Twitter search, did you find solution?",8,app_software_issue,False,Provide a solution or workaround for the GarageBand iOS update that caused the loss of songs.,medium,,ollama_suggestion_pending_human_review
11,2350834,2350837,2017-11-13T17:31:00+00:00,"@AppleSupport can I get a little help here? 2012 MacBook Pro became a paperweight after the High Sierra update. Download &amp; installation went through, then I restarted and can't get past the Apple logo with the loading bar full.",@679463 We'd be happy to help you get back to enjoying your MacBook Pro. Let's try starting up your MacBook in safe mode to see if we can get you past the Apple logo. Please take a look at the following article and let us know if this helps: https://t.co/PQ4LSYhUTY,"customer: @AppleSupport can I get a little help here? 2012 MacBook Pro became a paperweight after the High Sierra update. Download &amp; installation went through, then I restarted and can't get past the Apple logo with the loading bar full.",4,app_software_issue,True,Diagnose and resolve the boot loop issue caused by the High Sierra update on the 2012 MacBook Pro.,hard,,ollama_suggestion_pending_human_review
12,326658,326661,2017-10-01T12:16:55+00:00,@AppleSupport Just got an iPhone 8. So it would be iOS 11. Thanks!,@193837 What happens when you try to send a video? Do you get any error messages?,"customer: Yo. @115858 @AppleSupport : we can’t send video via text to android phones anymore?!? Seriously?
brand: @193837 Thanks for reaching out, we'd be happy to look into this. To start, can you let us know which device and iOS version you're using?
customer: @AppleSupport Just got an iPhone 8. So it would be iOS 11. Thanks!",10,app_software_issue,False,Clarify if the issue is related to a specific app or iOS 11 functionality and provide a solution.,easy,,ollama_suggestion_pending_human_review
13,2137231,2137233,2017-11-08T22:04:00+00:00,@AppleSupport IOS 11.1 and yes,"@628681 Thanks. Let's get you to our Photos Experts. Choose Apps &amp; Software &gt; iOS &gt; Photos from this link:

 https://t.co/IBIY3vMgPj","customer: @115858 what the hell,my phone just turned off and i couldn't access it untill i agreed to update
customer: @115858 And now half of my pictures are missing @AppleSupport
brand: @628681 Help is here! What iOS version is currently installed on your device? Do you use iCloud Photo Library?
customer: @AppleSupport IOS 11.1 and yes",6,app_software_issue,False,Resolve the iOS 11.1 update issue and recover missing pictures.,medium,,ollama_suggestion_pending_human_review
14,1570988,1570990,2017-11-04T17:26:00+00:00,"Apple iOS 11.1 calculator issue.
a. 1+2+3=23
b. 7+8+9 = 89 and other similar examples. @115858 @116333 @AppleSupport https://t.co/koaqZ20Wsf",@484415 Thanks for reaching out to us. We'd like to look into this with you. Let's meet in DM. https://t.co/GDrqU22YpT,"customer: Apple iOS 11.1 calculator issue.
a. 1+2+3=23
b. 7+8+9 = 89 and other similar examples. @115858 @116333 @AppleSupport https://t.co/koaqZ20Wsf",2,app_software_issue,False,Fix the iOS 11.1 calculator bug.,easy,,ollama_suggestion_pending_human_review
15,1142092,1142095,2017-10-24T15:50:04+00:00,"@AppleSupport None of the issues mentioned are related to my issue. I’ve already done the steps by removing the downloaded software, still issue exists.",@122867 Thank you for letting us know. Try using iTunes to update your device. Here's a link just in case: https://t.co/BNY6ybtlQM,"customer: @AppleSupport 
Trying to install the update ... but getting an error https://t.co/ps74x8wKwX
brand: @122867 Let's help get your device updated. In this scenario, check out: https://t.co/Ui1yTnOCUz and keep us posted.
customer: @AppleSupport None of the issues mentioned are related to my issue. I’ve already done the steps by removing the downloaded software, still issue exists.",6,app_software_issue,True,Provide further assistance to resolve the software update issue.,medium,,ollama_suggestion_pending_human_review
