conversation_id,customer_tweet_id,brand_tweet_id,timestamp,customer_message,brand_response,conversation_history,conversation_turns,is_multi_brand_candidate,intent,rule_confidence,needs_manual_review,matched_patterns
695,697,699,2017-10-31T22:36:27+00:00,@AppleSupport The newest update. I️ made sure to download it yesterday.,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,"customer: @AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE
customer: @AppleSupport  https://t.co/NV0yucs0lB
brand: @115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.
customer: @AppleSupport The newest update. I️ made sure to download it yesterday.",5,0,app_software_issue,0.99,True,update\b
747,749,748,2017-10-31T22:18:28+00:00,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,customer: @AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,2,0,general_information,0.99,True,what is\b
1761,1764,1762,2017-10-31T22:36:00+00:00,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",@116100 This article should help with that: https://t.co/usOJWy6ChP,"customer: @AppleSupport Hello, I need some help regarding the region change on my Apple ID",5,0,account_access,0.99,True,apple\s*id
2663,2666,2664,2017-10-31T22:48:31+00:00,I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,customer: I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,4,0,app_software_issue,0.99,True,error\b
4898,4900,4902,2017-11-02T13:58:00+00:00,@AppleSupport @116860 I have and my battery life has become even worse,@116861 Let's look into this further in DM. https://t.co/GDrqU22YpT,"customer: Please fix the battery issues in Ios 11! @AppleSupport @115858
brand: @116860 We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?
customer: @AppleSupport @116860 I have and my battery life has become even worse",4,0,device_issue,0.99,True,battery
8329,8331,8330,2017-11-05T23:03:55+00:00,Oh my god i’m so embarrassing @115858 why do I always send voice recordings in iMessage by accident do you know how embarrassing that is?!,"@117463 Are you accidentally recording audio message or is this happening on its own? Let us know in a DM, we’ll communicate there: https://t.co/GDrqU22YpT",customer: Oh my god i’m so embarrassing @115858 why do I always send voice recordings in iMessage by accident do you know how embarrassing that is?!,2,0,app_software_issue,0.99,True,imessage
11118,11120,11119,2017-11-01T00:51:00+00:00,"@AppleSupport 6 plus, idk what iOS version.. and it was the rear facing camera",@118100 We'd like to gather more information. Let's meet in DM. https://t.co/GDrqU22YpT,"customer: @AppleSupport @118101 would love to know why my pictures look like this when I take a picture 😡 https://t.co/yVpQKCBzFu
brand: @118100 We would love to help you with this! Is this the front or rear facing camera? Which device and iOS version?
customer: @AppleSupport 6 plus, idk what iOS version.. and it was the rear facing camera",4,0,app_software_issue,0.99,True,ios\b
11653,11655,11654,2017-11-01T01:01:55+00:00,@AppleSupport is my #IphoneX really going to ship between December 5-11? I preorder right when preordering open at 12:01,@118248 Thank you for reaching out. May we ask where you're located? Let us know in DM. https://t.co/GDrqU22YpT,customer: @AppleSupport is my #IphoneX really going to ship between December 5-11? I preorder right when preordering open at 12:01,2,0,order_purchase,0.99,True,order\b
11655,11657,11656,2017-11-01T01:01:28+00:00,@AppleSupport Ios 11.1 software update needs to be fixed,@118249 Let's continue within DM here: https://t.co/GDrqU22YpT,"customer: Fix my shit @AppleSupport
brand: @118249 We're always ready to help, but we'll need more details to start. Reply by DM with which model is it and what's happening with it. https://t.co/GDrqU22YpT
customer: @AppleSupport Ios 11.1 software update needs to be fixed",4,0,app_software_issue,0.99,False,ios\b;update\b;software
14229,14231,14230,2017-11-22T13:36:00+00:00,why iOS Keyboard looks weird in Landscape mode i was typing like nfjfhfbd wanzkdejfc c #fallontonight @AppleSupport Help me!!,"@119021 Let's work together to figure out what's happening with the keyboard on your iOS device. Send us a DM with what type of device you're using, along with your specific iOS version. We'll continue working with you there. https://t.co/GDrqU22YpT",customer: why iOS Keyboard looks weird in Landscape mode i was typing like nfjfhfbd wanzkdejfc c #fallontonight @AppleSupport Help me!!,2,0,app_software_issue,0.99,True,ios\b
